toban,class_rank,entry_rate_1,entry_rate_2,entry_rate_3,entry_rate_4,entry_rate_5,entry_rate_6,win3_rate_1,win3_rate_2,win3_rate_3,win3_rate_4,win3_rate_5,win3_rate_6,avg_st_1,avg_st_2,avg_st_3,avg_st_4,avg_st_5,avg_st_6,start_order_1,start_order_2,start_order_3,start_order_4,start_order_5,start_order_6
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2538,B1,16.9,21.3,19.1,16.9,20.2,5.6,53.3,36.8,0.0,26.7,11.1,0.0,0.17,0.17,0.24,0.21,0.25,0.28,4.6,3.9,5.1,4.3,4.9,5.0
2876,,,,,,,,,,,,,,,,,,,,,,,,,
2878,B1,18.3,16.5,24.3,20.0,13.0,7.8,81.0,73.7,42.9,69.6,0.0,22.2,0.17,0.14,0.18,0.16,0.18,0.17,3.7,3.7,3.8,3.0,4.1,4.1
2903,,,,,,,,,,,,,,,,,,,,,,,,,
2930,,,,,,,,,,,,,,,,,,,,,,,,,
3022,,,,,,,,,,,,,,,,,,,,,,,,,
3024,A1,37.3,55.1,5.1,0.8,0.8,0.8,79.5,61.5,66.7,100.0,100.0,0.0,0.15,0.16,0.16,0.16,0.13,0.12,2.8,3.0,1.7,2.0,1.0,2.0
3054,B1,19.5,16.1,13.8,20.7,16.1,13.8,82.4,35.7,50.0,33.3,21.4,33.3,0.16,0.15,0.15,0.16,0.16,0.17,3.9,3.6,2.7,2.6,3.2,2.9
3065,,,,,,,,,,,,,,,,,,,,,,,,,
3070,B1,13.5,37.8,24.3,20.3,4.1,0.0,70.0,46.4,27.8,53.3,33.3,0.0,0.12,0.19,0.17,0.12,0.14,0.0,2.0,3.7,4.0,2.3,2.3,0.0
3072,B1,26.6,67.9,5.5,0.0,0.0,0.0,65.5,28.4,16.7,0.0,0.0,0.0,0.12,0.16,0.21,0.0,0.0,0.0,2.3,3.3,4.3,0.0,0.0,0.0
3075,B1,16.0,16.8,19.3,18.5,13.4,16.0,63.2,45.0,26.1,68.2,37.5,26.3,0.12,0.13,0.14,0.13,0.14,0.13,2.5,2.9,2.9,2.8,2.3,2.7
3081,B1,19.7,15.8,17.1,14.5,23.7,9.2,60.0,66.7,61.5,27.3,44.4,28.6,0.19,0.13,0.16,0.19,0.15,0.2,3.5,2.2,2.8,4.5,3.4,4.3
3105,B1,16.8,17.8,21.5,15.9,15.0,13.1,83.3,52.6,34.8,35.3,37.5,14.3,0.16,0.14,0.15,0.19,0.19,0.16,2.8,3.3,3.2,3.1,4.1,3.4
3107,B1,14.7,13.7,22.1,17.9,17.9,13.7,64.3,46.2,14.3,35.3,29.4,23.1,0.16,0.17,0.17,0.17,0.16,0.14,3.4,4.5,3.6,4.0,3.4,3.2
3141,,,,,,,,,,,,,,,,,,,,,,,,,
3156,B1,18.0,30.0,24.0,17.0,4.0,7.0,61.1,33.3,25.0,11.8,0.0,0.0,0.15,0.17,0.14,0.17,0.16,0.23,3.3,3.6,3.3,3.4,3.8,5.1
3161,B1,22.2,21.4,24.6,18.3,11.9,1.6,64.3,66.7,67.7,47.8,33.3,0.0,0.18,0.2,0.16,0.16,0.15,0.38,3.8,4.0,3.4,3.9,3.7,5.5
3175,B1,17.3,19.8,18.5,17.3,13.6,13.6,50.0,68.8,53.3,35.7,18.2,18.2,0.17,0.16,0.19,0.14,0.15,0.15,4.0,2.8,3.5,2.6,2.9,3.9
3176,B1,15.7,18.5,17.6,18.5,16.7,13.0,64.7,50.0,36.8,35.0,22.2,14.3,0.15,0.19,0.18,0.2,0.17,0.18,2.6,4.1,3.3,4.0,4.1,4.6
3188,,,,,,,,,,,,,,,,,,,,,,,,,
3202,B1,18.0,17.0,15.0,21.0,17.0,12.0,72.2,41.2,46.7,42.9,29.4,8.3,0.2,0.18,0.2,0.19,0.22,0.21,3.7,4.1,3.8,4.2,4.5,4.8
3207,B1,17.1,18.6,17.1,15.7,17.1,14.3,41.7,15.4,25.0,36.4,16.7,10.0,0.15,0.2,0.19,0.18,0.14,0.14,3.5,4.7,3.5,3.2,3.3,3.5
3211,B1,14.5,18.2,20.0,16.4,17.3,13.6,43.8,35.0,36.4,5.6,21.1,13.3,0.19,0.19,0.18,0.19,0.16,0.15,4.2,3.9,3.1,3.9,3.4,3.3
3224,B1,12.5,17.0,18.8,19.6,22.3,9.8,71.4,21.1,57.1,31.8,28.0,0.0,0.16,0.22,0.19,0.18,0.18,0.23,4.1,4.5,3.6,3.6,3.8,5.4
3226,B1,16.7,21.7,14.2,19.2,16.7,11.7,80.0,34.6,47.1,30.4,25.0,21.4,0.19,0.16,0.19,0.19,0.18,0.18,3.3,3.0,4.1,3.4,3.5,4.1
3227,,,,,,,,,,,,,,,,,,,,,,,,,
3232,A2,17.3,17.3,19.2,17.3,16.3,12.5,88.9,88.9,55.0,44.4,52.9,15.4,0.14,0.17,0.17,0.16,0.14,0.18,2.9,3.2,2.8,3.6,3.2,4.1
3243,,,,,,,,,,,,,,,,,,,,,,,,,
3246,B2,12.7,19.7,15.5,22.5,23.9,5.6,44.4,35.7,36.4,31.2,5.9,0.0,0.23,0.17,0.16,0.16,0.13,0.12,4.2,3.6,2.9,3.0,2.9,3.3
3265,A1,32.5,65.8,1.7,0.0,0.0,0.0,84.6,58.2,100.0,0.0,0.0,0.0,0.13,0.15,0.07,0.0,0.0,0.0,2.7,2.8,1.5,0.0,0.0,0.0
3268,B1,14.8,21.6,19.3,29.5,13.6,1.1,92.3,47.4,29.4,23.1,25.0,0.0,0.15,0.15,0.17,0.18,0.19,0.27,2.3,4.0,3.6,3.8,4.5,6.0
3277,B1,16.7,18.4,21.1,13.2,14.0,16.7,63.2,47.6,45.8,33.3,12.5,15.8,0.15,0.18,0.19,0.17,0.16,0.17,3.4,4.0,3.7,3.4,3.4,3.5
3280,,,,,,,,,,,,,,,,,,,,,,,,,
3282,B1,12.9,17.2,19.4,18.3,19.4,12.9,50.0,43.8,44.4,35.3,16.7,16.7,0.18,0.2,0.19,0.22,0.21,0.24,3.5,3.5,3.6,3.9,4.5,5.2
3289,B1,20.5,20.5,15.1,15.1,16.4,12.3,46.7,46.7,27.3,27.3,8.3,11.1,0.2,0.19,0.17,0.15,0.21,0.27,3.8,3.3,3.5,2.5,4.3,4.7
3290,,,,,,,,,,,,,,,,,,,,,,,,,
3293,B1,15.0,19.0,16.0,16.0,22.0,12.0,73.3,52.6,18.8,50.0,36.4,16.7,0.19,0.19,0.2,0.21,0.2,0.19,3.6,4.4,4.2,4.3,3.8,3.8
3294,B1,16.2,15.2,20.0,13.3,16.2,19.0,82.4,43.8,38.1,35.7,29.4,30.0,0.17,0.18,0.17,0.12,0.11,0.12,3.2,3.9,2.8,2.7,2.1,2.4
3295,,,,,,,,,,,,,,,,,,,,,,,,,
3300,A1,19.5,17.2,13.3,19.5,13.3,17.2,92.0,63.6,82.4,52.0,35.3,36.4,0.15,0.14,0.15,0.14,0.17,0.16,3.2,2.8,2.6,2.4,3.1,3.5
3302,B1,15.3,16.7,16.7,16.7,22.2,12.5,72.7,25.0,58.3,33.3,18.8,22.2,0.19,0.15,0.18,0.15,0.18,0.21,3.3,3.3,2.8,2.0,3.7,4.1
3304,A2,20.0,16.4,12.7,20.0,15.5,15.5,86.4,61.1,42.9,45.5,29.4,41.2,0.16,0.18,0.15,0.18,0.15,0.19,3.2,4.2,3.1,3.5,3.1,4.1
3306,B1,15.9,15.9,17.0,18.2,20.5,12.5,57.1,42.9,26.7,18.8,22.2,18.2,0.13,0.14,0.21,0.15,0.16,0.18,2.3,2.9,4.0,3.0,3.7,3.7
3307,,,,,,,,,,,,,,,,,,,,,,,,,
3313,B1,16.2,19.0,14.3,16.2,18.1,16.2,47.1,40.0,33.3,29.4,5.3,0.0,0.2,0.15,0.19,0.19,0.2,0.19,3.1,3.4,3.4,3.8,3.7,4.0
3315,B1,13.3,14.7,17.3,18.7,17.3,18.7,50.0,54.5,30.8,64.3,7.7,7.1,0.2,0.18,0.15,0.14,0.2,0.24,4.1,3.2,3.3,2.6,4.5,4.2
3319,B1,15.4,15.4,15.4,24.4,16.7,12.8,41.7,41.7,75.0,47.4,46.2,40.0,0.2,0.18,0.17,0.14,0.16,0.17,4.3,4.1,3.8,2.7,2.8,4.7
3327,A2,22.2,21.2,14.1,32.3,6.1,4.0,72.7,66.7,42.9,75.0,0.0,25.0,0.14,0.15,0.18,0.17,0.18,0.27,2.6,2.6,3.4,3.2,4.2,5.5
3338,,,,,,,,,,,,,,,,,,,,,,,,,
3340,B1,17.4,19.1,17.4,13.0,17.4,15.7,75.0,36.4,35.0,20.0,15.0,11.1,0.17,0.16,0.2,0.17,0.23,0.2,3.6,3.3,3.5,3.5,4.7,4.7
3346,,,,,,,,,,,,,,,,,,,,,,,,,
3347,,,,,,,,,,,,,,,,,,,,,,,,,
3353,B2,12.8,17.0,19.1,17.0,19.1,14.9,83.3,50.0,44.4,37.5,22.2,14.3,0.16,0.19,0.14,0.11,0.15,0.26,4.3,3.3,2.8,1.2,2.3,4.9
3355,B2,15.6,17.8,17.8,17.8,22.2,8.9,57.1,12.5,25.0,37.5,10.0,25.0,0.2,0.26,0.28,0.25,0.23,0.29,4.7,5.8,5.4,5.0,5.0,5.3
3357,B1,15.3,20.0,15.3,18.8,11.8,18.8,69.2,47.1,53.8,6.2,30.0,0.0,0.16,0.2,0.21,0.2,0.16,0.27,3.0,4.4,3.5,4.5,3.6,5.1
3361,B1,13.8,17.2,18.4,18.4,12.6,19.5,33.3,46.7,18.8,18.8,0.0,17.6,0.14,0.17,0.18,0.2,0.21,0.21,2.4,3.5,3.5,4.1,3.7,4.9
3370,B1,13.3,20.4,16.3,15.3,22.4,12.2,76.9,40.0,31.2,20.0,13.6,0.0,0.13,0.18,0.17,0.16,0.2,0.25,2.7,4.4,2.9,2.9,3.6,5.0
3372,B1,13.1,17.9,17.9,22.6,15.5,13.1,54.5,33.3,20.0,42.1,7.7,9.1,0.19,0.21,0.2,0.22,0.22,0.23,4.5,4.6,4.5,4.5,5.1,4.7
3377,B1,15.1,15.1,18.6,15.1,19.8,16.3,38.5,15.4,37.5,23.1,23.5,21.4,0.21,0.2,0.17,0.17,0.17,0.2,4.8,4.5,4.0,3.3,3.6,3.6
3381,B1,16.7,18.3,18.3,20.8,15.8,10.0,60.0,36.4,45.5,68.0,26.3,16.7,0.16,0.15,0.14,0.14,0.15,0.13,3.2,3.2,2.6,2.5,2.8,2.9
3385,A2,20.4,17.5,14.6,17.5,16.5,13.6,85.7,72.2,80.0,55.6,29.4,21.4,0.17,0.15,0.15,0.17,0.19,0.17,2.9,3.5,3.0,3.3,3.7,3.9
3388,A1,20.4,13.9,10.2,28.7,18.5,8.3,86.4,46.7,45.5,61.3,30.0,22.2,0.15,0.16,0.16,0.12,0.17,0.21,3.6,3.9,3.5,2.8,3.2,4.9
3392,B1,12.6,17.9,18.9,17.9,17.9,14.7,50.0,35.3,33.3,29.4,23.5,21.4,0.2,0.18,0.18,0.16,0.18,0.21,3.8,3.9,3.9,4.6,4.4,4.9
3401,B1,15.8,21.1,15.8,11.8,14.5,21.1,50.0,50.0,41.7,44.4,63.6,12.5,0.18,0.2,0.19,0.25,0.25,0.27,5.0,4.4,4.2,4.9,5.5,5.6
3406,A2,19.2,16.8,16.8,15.2,17.6,14.4,79.2,61.9,76.2,63.2,40.9,44.4,0.18,0.15,0.16,0.19,0.16,0.19,3.7,3.9,3.9,4.1,4.0,4.6
3412,A2,19.7,14.4,18.2,19.7,9.1,18.9,84.6,57.9,66.7,61.5,75.0,32.0,0.15,0.19,0.17,0.17,0.17,0.13,2.7,3.6,3.3,3.7,3.3,2.8
3414,,,,,,,,,,,,,,,,,,,,,,,,,
3422,A1,23.8,16.4,12.3,27.0,15.6,4.9,86.2,45.0,53.3,72.7,73.7,16.7,0.15,0.16,0.16,0.16,0.14,0.11,2.8,3.9,3.3,2.8,2.7,1.7
3424,,,,,,,,,,,,,,,,,,,,,,,,,
3430,B1,13.3,18.6,18.6,21.2,16.8,11.5,86.7,42.9,42.9,20.8,21.1,0.0,0.14,0.19,0.19,0.16,0.16,0.19,3.1,3.9,3.9,3.7,3.8,4.5
3432,B1,16.9,16.1,16.9,21.2,16.1,12.7,80.0,63.2,45.0,28.0,21.1,13.3,0.14,0.14,0.15,0.15,0.18,0.21,2.9,2.2,2.9,3.4,3.5,4.9
3434,B1,17.0,18.9,14.2,17.0,17.9,15.1,66.7,50.0,53.3,38.9,42.1,12.5,0.18,0.18,0.16,0.16,0.15,0.21,4.0,3.7,3.5,3.2,3.3,4.4
3441,B1,15.5,17.5,21.6,19.6,19.6,6.2,60.0,70.6,57.1,42.1,36.8,33.3,0.2,0.19,0.18,0.22,0.22,0.22,3.7,4.1,3.7,4.6,4.4,4.5
3442,B1,13.4,17.3,17.3,18.9,16.5,16.5,82.4,50.0,50.0,41.7,23.8,33.3,0.13,0.16,0.14,0.16,0.17,0.17,3.0,2.9,3.1,3.4,3.0,4.1
3444,B1,13.0,16.9,16.9,19.5,16.9,16.9,30.0,7.7,38.5,40.0,30.8,15.4,0.2,0.21,0.17,0.16,0.17,0.19,3.1,4.2,3.2,2.3,3.8,3.6
3454,B1,15.4,15.4,19.2,16.3,18.3,15.4,75.0,56.2,60.0,47.1,42.1,12.5,0.16,0.15,0.13,0.12,0.12,0.22,2.9,2.8,2.1,2.9,3.1,4.6
3455,B1,15.7,16.9,18.0,16.9,16.9,15.7,78.6,40.0,50.0,46.7,26.7,28.6,0.18,0.15,0.18,0.15,0.21,0.23,2.7,3.5,3.9,3.2,4.0,4.9
3459,B1,14.7,15.8,18.9,16.8,14.7,18.9,50.0,20.0,27.8,37.5,7.1,11.1,0.18,0.19,0.17,0.15,0.16,0.19,3.2,3.7,3.1,2.4,3.0,4.1
3462,,,,,,,,,,,,,,,,,,,,,,,,,
3463,B1,17.2,14.9,16.1,23.0,18.4,10.3,53.3,46.2,42.9,45.0,31.2,33.3,0.2,0.18,0.18,0.18,0.21,0.26,4.6,4.5,3.9,3.6,4.8,5.6
3467,B1,15.1,18.6,18.6,11.6,22.1,14.0,69.2,25.0,25.0,20.0,10.5,16.7,0.19,0.18,0.16,0.17,0.16,0.17,5.1,3.8,2.8,4.0,3.2,3.9
3473,A1,41.3,52.9,5.8,0.0,0.0,0.0,77.2,60.3,62.5,0.0,0.0,0.0,0.14,0.13,0.17,0.0,0.0,0.0,2.4,2.6,2.9,0.0,0.0,0.0
3474,B1,17.8,17.8,17.8,17.8,16.8,12.1,68.4,63.2,52.6,52.6,38.9,30.8,0.18,0.16,0.16,0.16,0.18,0.19,3.1,3.8,2.3,3.4,3.9,3.6
3477,B1,16.0,17.0,20.0,16.0,15.0,16.0,37.5,41.2,20.0,18.8,20.0,18.8,0.18,0.17,0.18,0.19,0.19,0.23,4.4,3.9,4.1,3.9,3.5,4.5
3482,A2,15.8,17.3,16.5,18.0,15.1,17.3,90.9,66.7,56.5,52.0,47.6,50.0,0.16,0.16,0.14,0.17,0.14,0.18,3.0,3.5,2.6,3.1,3.0,3.8
3484,A2,19.8,15.1,17.4,19.8,17.4,10.5,82.4,69.2,66.7,58.8,20.0,33.3,0.14,0.15,0.16,0.16,0.17,0.2,2.7,3.0,3.0,3.6,3.3,5.0
3497,B1,16.2,18.2,16.2,18.2,17.2,14.1,81.2,38.9,75.0,33.3,35.3,28.6,0.16,0.2,0.16,0.17,0.17,0.17,3.4,4.1,3.3,3.7,3.4,3.8
3499,A2,21.5,15.3,20.1,18.1,16.7,8.3,90.3,86.4,55.2,38.5,37.5,33.3,0.11,0.13,0.13,0.12,0.14,0.2,2.1,2.4,2.3,2.7,2.3,3.8
3501,,,,,,,,,,,,,,,,,,,,,,,,,
3502,B1,19.8,14.9,19.8,19.8,22.3,3.3,83.3,83.3,58.3,45.8,33.3,0.0,0.18,0.19,0.17,0.16,0.18,0.21,3.5,3.7,3.3,3.5,3.7,4.8
3503,B1,15.3,17.1,17.1,17.1,18.9,14.4,58.8,57.9,42.1,36.8,19.0,6.2,0.17,0.16,0.16,0.15,0.14,0.19,4.2,3.1,3.2,2.6,3.2,4.4
3506,,,,,,,,,,,,,,,,,,,,,,,,,
3509,B1,15.8,19.7,21.1,14.5,19.7,9.2,66.7,33.3,18.8,45.5,13.3,42.9,0.14,0.16,0.15,0.12,0.13,0.15,2.4,3.0,3.1,1.4,2.5,3.3
3514,A2,17.6,15.7,19.6,14.7,19.6,12.7,88.9,75.0,65.0,20.0,40.0,30.8,0.14,0.17,0.17,0.15,0.16,0.2,2.5,3.1,3.3,3.6,3.5,4.3
3516,B1,18.3,16.3,17.3,18.3,13.5,16.3,78.9,47.1,33.3,36.8,42.9,23.5,0.15,0.15,0.18,0.17,0.16,0.19,2.7,3.2,3.3,3.9,2.6,3.8
3517,A2,16.3,19.4,21.7,23.3,15.5,3.9,100.0,44.0,53.6,40.0,50.0,20.0,0.13,0.16,0.13,0.16,0.15,0.16,1.9,3.0,2.8,2.8,3.0,3.8
3518,B1,13.9,15.3,19.4,18.1,18.1,15.3,40.0,27.3,35.7,53.8,30.8,0.0,0.21,0.17,0.19,0.16,0.16,0.21,4.9,3.8,3.4,2.9,2.8,3.8
3519,B1,13.6,18.2,14.5,19.1,18.2,16.4,86.7,55.0,37.5,47.6,30.0,5.6,0.14,0.15,0.13,0.14,0.14,0.19,2.6,3.7,2.6,3.4,3.1,4.0
3528,B1,16.1,17.2,17.2,19.5,16.1,13.8,78.6,46.7,46.7,35.3,21.4,16.7,0.22,0.21,0.18,0.17,0.19,0.19,4.5,4.3,3.4,3.9,3.7,3.6
3532,A1,23.1,35.0,24.8,15.4,1.7,0.0,85.2,78.0,62.1,72.2,0.0,0.0,0.16,0.16,0.14,0.13,0.22,0.0,3.2,3.1,2.7,3.7,4.5,0.0
3533,,,,,,,,,,,,,,,,,,,,,,,,,
3536,,,,,,,,,,,,,,,,,,,,,,,,,
3537,,,,,,,,,,,,,,,,,,,,,,,,,
3538,B1,17.0,14.8,17.0,20.5,13.6,17.0,80.0,69.2,53.3,50.0,8.3,46.7,0.19,0.21,0.21,0.19,0.19,0.22,3.2,3.4,3.7,4.1,4.2,4.9
3539,B1,15.0,28.3,19.5,17.7,9.7,9.7,76.5,34.4,31.8,25.0,18.2,9.1,0.18,0.17,0.19,0.19,0.19,0.14,3.6,3.9,3.9,4.6,4.5,4.2
3541,A1,22.1,17.2,19.7,14.8,19.7,6.6,81.5,85.7,58.3,77.8,37.5,62.5,0.16,0.16,0.14,0.16,0.17,0.16,2.6,3.7,3.1,3.2,3.3,3.4
3542,B1,18.3,62.4,12.8,4.6,1.8,0.0,60.0,38.2,14.3,0.0,0.0,0.0,0.17,0.19,0.21,0.23,0.2,0.0,3.5,3.9,3.3,5.0,5.5,0.0
3544,B2,13.9,19.4,11.1,22.2,22.2,11.1,20.0,14.3,25.0,37.5,25.0,0.0,0.22,0.18,0.23,0.21,0.2,0.25,5.0,3.9,4.8,4.5,3.0,5.0
3548,A2,20.0,16.3,14.1,17.0,20.0,12.6,85.2,68.2,73.7,43.5,44.4,41.2,0.1,0.13,0.11,0.12,0.12,0.13,1.9,2.2,2.1,2.3,2.3,2.8
3551,B1,15.3,19.4,19.4,16.7,15.3,13.9,72.7,57.1,28.6,25.0,9.1,20.0,0.21,0.16,0.16,0.19,0.17,0.18,3.0,3.5,4.1,2.9,3.5,3.1
3554,A1,24.2,22.3,23.6,26.1,3.8,0.0,89.5,57.1,67.6,65.9,50.0,0.0,0.18,0.18,0.18,0.19,0.19,0.0,3.5,4.0,4.3,3.8,2.8,0.0
3556,A1,25.2,17.0,15.0,16.3,16.3,10.2,97.3,60.0,72.7,66.7,62.5,53.3,0.12,0.14,0.18,0.14,0.15,0.14,2.5,3.0,2.9,3.0,3.3,3.3
3557,A1,24.1,14.2,19.1,21.0,11.7,9.9,89.7,69.6,74.2,67.6,63.2,31.2,0.15,0.13,0.13,0.16,0.14,0.17,3.0,3.5,2.9,3.2,3.1,3.6
3559,,,,,,,,,,,,,,,,,,,,,,,,,
3561,,,,,,,,,,,,,,,,,,,,,,,,,
3564,B1,15.6,16.7,16.7,16.7,21.1,13.3,64.3,33.3,60.0,40.0,21.1,16.7,0.2,0.16,0.2,0.15,0.18,0.19,3.4,3.8,4.0,3.8,3.9,4.8
3565,,,,,,,,,,,,,,,,,,,,,,,,,
